Blue (Band 2),Green (Band 3),Red (Band 4),NIR (Band 5),SWIR (Band 6),SWIR (Band 7),class_id
10862,12893,14915,18828,20902,19277,5
10720,12651,14699,18510,20862,19147,5
10587,12405,14264,18094,20306,18880,5
10579,12388,14264,18118,20634,19083,5
10566,12357,14335,17981,20651,18921,5
10525,12163,14038,17822,20648,18877,5
10540,12237,14160,17888,20757,18974,5
10586,12412,14361,18211,20528,18819,5
10607,12515,14526,18348,20356,18759,5
10702,12586,14535,18445,20271,18510,5
10769,12724,14612,18462,20140,18580,5
10642,12648,14609,18254,19923,18530,5
10789,12770,14754,18416,20137,18621,5
10922,12956,14932,18619,20377,18957,5
10964,13021,15079,18629,20713,19229,5
10964,13025,15077,18667,20862,19300,5
10817,12810,14832,18622,20653,19102,5
10768,12707,14783,18502,20961,19419,5
10625,12458,14536,18146,20929,19360,5
10507,12252,14250,17697,20638,19142,5
10453,12210,14226,18015,20301,18455,5
10470,12147,14126,17985,20416,18612,5
11115,13086,15345,18802,21514,19347,5
10900,12770,15033,18647,21352,19046,5
10708,12435,14607,18461,21275,18522,5
10750,12555,14753,18890,21565,18504,5
10793,12571,14789,18928,21532,18601,5
10687,12359,14458,18543,21145,18255,5
10634,12381,14372,18439,21081,18554,5
10637,12376,14305,18036,20889,18925,5
10679,12391,14338,17948,20793,19044,5
10578,12317,14333,17755,20907,19334,5
10833,12638,14701,17923,21247,20009,5
11128,13153,15354,18618,21315,20017,5
11280,13370,15531,18825,21426,19641,5
10722,12526,14641,19019,21309,17963,5
10627,12387,14490,18983,21186,17531,5
10599,12316,14339,18691,20983,17988,5
10683,12473,14485,18106,20849,19303,5
10723,12522,14507,18023,20770,19405,5
10805,12651,14656,18057,20985,19899,5
10942,12893,14979,18409,21134,20098,5
11121,13206,15370,18747,21245,19912,5
11011,13046,15088,18876,20777,18933,5
10894,12910,14926,18938,20649,18595,5
11130,13269,15390,19128,21287,19262,5
10982,13060,15230,19198,21427,18743,5
10757,12697,14728,19277,21211,17562,5
10713,12654,14750,19110,21199,17839,5
10774,12664,14772,18934,21241,18554,5
10585,12379,14369,18195,20328,18495,5
10465,12160,13919,17846,19983,18445,5
10584,12446,14390,18194,20325,18818,5
10733,12666,14689,18403,20570,18823,5
10874,12916,14922,18694,20614,18955,5
10978,13090,15129,18978,20801,19141,5
10918,13040,15045,18913,20582,18785,5
10939,12853,14822,19193,21015,18278,5
10838,12791,14751,18907,20792,18644,5
10599,12490,14397,18162,20105,18648,5
10552,12315,14167,17966,20429,18976,5
10522,12222,14111,17885,20629,19030,5
10505,12148,14029,17671,20631,19049,5
10442,12086,13928,17541,20446,18764,5
10497,12205,14125,18008,20224,18207,5
10555,12394,14336,18297,20188,18375,5
10675,12601,14585,18412,20369,18513,5
10758,12669,14687,18488,20385,18532,5
10738,12666,14651,18320,20471,19061,5
10795,12757,14756,18295,20631,19514,5
10870,12887,14970,18407,20925,19705,5
10889,12876,14944,18352,21006,19720,5
10812,12801,14847,18570,20861,19323,5
10733,12723,14744,18511,20612,19159,5
10706,12610,14614,18304,20738,19281,5
10535,12296,14217,17914,20375,18774,5
10414,12058,13939,17599,20303,18687,5
10487,12159,14070,17674,20432,18868,5
10564,12316,14342,18099,20736,19063,5
11007,12984,15200,18623,21262,19272,5
10844,12690,14807,18257,21094,19107,5
10589,12261,14221,18048,20187,18127,5
10694,12448,14428,18290,21022,18881,5
10743,12536,14551,18321,20715,18770,5
10688,12494,14492,18034,21072,19237,5
10581,12290,14228,17746,20849,19073,5
10577,12307,14245,17734,20904,19180,5
